(base) PS C:\Users\86769\_c++_File\RM\task3\code\out\build\release> armorsim
装甲板运动模拟 (帧率: 100fps, Δt = 10ms)
初始位置: (0, 0), 初始速度: (2, 3)
观测噪声标准差: 0.5, 过程噪声标准差: 0.1

=== 恒定速度运动 ===
  Time    True X    True Y     Vel X     Vel Y
----------------------------------------------
 0.000     0.000     0.000     2.000     3.000
 0.010     0.020     0.030     2.000     3.000
 0.020     0.040     0.060     2.000     3.000
 0.030     0.060     0.090     2.000     3.000
 0.040     0.080     0.120     2.000     3.000
 0.050     0.100     0.150     2.000     3.000
 0.060     0.120     0.180     2.000     3.000
 0.070     0.140     0.210     2.000     3.000
 0.080     0.160     0.240     2.000     3.000
 0.090     0.180     0.270     2.000     3.000
 0.100     0.200     0.300     2.000     3.000
 0.110     0.220     0.330     2.000     3.000
 0.120     0.240     0.360     2.000     3.000
 0.130     0.260     0.390     2.000     3.000
 0.140     0.280     0.420     2.000     3.000
 0.150     0.300     0.450     2.000     3.000
 0.160     0.320     0.480     2.000     3.000
 0.170     0.340     0.510     2.000     3.000
 0.180     0.360     0.540     2.000     3.000
 0.190     0.380     0.570     2.000     3.000
 0.200     0.400     0.600     2.000     3.000
 0.210     0.420     0.630     2.000     3.000
 0.220     0.440     0.660     2.000     3.000
 0.230     0.460     0.690     2.000     3.000
 0.240     0.480     0.720     2.000     3.000
 0.250     0.500     0.750     2.000     3.000
 0.260     0.520     0.780     2.000     3.000
 0.270     0.540     0.810     2.000     3.000
 0.280     0.560     0.840     2.000     3.000
 0.290     0.580     0.870     2.000     3.000
 0.300     0.600     0.900     2.000     3.000
 0.310     0.620     0.930     2.000     3.000
 0.320     0.640     0.960     2.000     3.000
 0.330     0.660     0.990     2.000     3.000
 0.340     0.680     1.020     2.000     3.000
 0.350     0.700     1.050     2.000     3.000
 0.360     0.720     1.080     2.000     3.000
 0.370     0.740     1.110     2.000     3.000
 0.380     0.760     1.140     2.000     3.000
 0.390     0.780     1.170     2.000     3.000
 0.400     0.800     1.200     2.000     3.000
 0.410     0.820     1.230     2.000     3.000
 0.420     0.840     1.260     2.000     3.000
 0.430     0.860     1.290     2.000     3.000
 0.440     0.880     1.320     2.000     3.000
 0.450     0.900     1.350     2.000     3.000
 0.460     0.920     1.380     2.000     3.000
 0.470     0.940     1.410     2.000     3.000
 0.480     0.960     1.440     2.000     3.000
 0.490     0.980     1.470     2.000     3.000
 0.500     1.000     1.500     2.000     3.000
 0.510     1.020     1.530     2.000     3.000
 0.520     1.040     1.560     2.000     3.000
 0.530     1.060     1.590     2.000     3.000
 0.540     1.080     1.620     2.000     3.000
 0.550     1.100     1.650     2.000     3.000
 0.560     1.120     1.680     2.000     3.000
 0.570     1.140     1.710     2.000     3.000
 0.580     1.160     1.740     2.000     3.000
 0.590     1.180     1.770     2.000     3.000
 0.600     1.200     1.800     2.000     3.000
 0.610     1.220     1.830     2.000     3.000
 0.620     1.240     1.860     2.000     3.000
 0.630     1.260     1.890     2.000     3.000
 0.640     1.280     1.920     2.000     3.000
 0.650     1.300     1.950     2.000     3.000
 0.660     1.320     1.980     2.000     3.000
 0.670     1.340     2.010     2.000     3.000
 0.680     1.360     2.040     2.000     3.000
 0.690     1.380     2.070     2.000     3.000
 0.700     1.400     2.100     2.000     3.000
 0.710     1.420     2.130     2.000     3.000
 0.720     1.440     2.160     2.000     3.000
 0.730     1.460     2.190     2.000     3.000
 0.740     1.480     2.220     2.000     3.000
 0.750     1.500     2.250     2.000     3.000
 0.760     1.520     2.280     2.000     3.000
 0.770     1.540     2.310     2.000     3.000
 0.780     1.560     2.340     2.000     3.000
 0.790     1.580     2.370     2.000     3.000
 0.800     1.600     2.400     2.000     3.000
 0.810     1.620     2.430     2.000     3.000
 0.820     1.640     2.460     2.000     3.000
 0.830     1.660     2.490     2.000     3.000
 0.840     1.680     2.520     2.000     3.000
 0.850     1.700     2.550     2.000     3.000
 0.860     1.720     2.580     2.000     3.000
 0.870     1.740     2.610     2.000     3.000
 0.880     1.760     2.640     2.000     3.000
 0.890     1.780     2.670     2.000     3.000
 0.900     1.800     2.700     2.000     3.000
 0.910     1.820     2.730     2.000     3.000
 0.920     1.840     2.760     2.000     3.000
 0.930     1.860     2.790     2.000     3.000
 0.940     1.880     2.820     2.000     3.000
 0.950     1.900     2.850     2.000     3.000
 0.960     1.920     2.880     2.000     3.000
 0.970     1.940     2.910     2.000     3.000
 0.980     1.960     2.940     2.000     3.000
 0.990     1.980     2.970     2.000     3.000
 1.000     2.000     3.000     2.000     3.000

